negotiate	вести переговоры	We need to negotiate the terms of the contract before signing.
deadline	срок, дедлайн	The project deadline is next Friday, so we need to hurry.
agreement	соглашение, договор	Both parties signed the agreement after lengthy discussions.
invoice	счёт-фактура	Please send the invoice to our accounting department.
shipment	груз, поставка	The shipment arrived at the warehouse two days late.
customs	таможня	All goods must pass through customs before entering the country.
freight	грузоперевозка, фрахт	The freight costs increased due to rising fuel prices.
supplier	поставщик	Our main supplier is based in Germany and delivers weekly.
contract	контракт, договор	Make sure to read the contract carefully before you sign it.
penalty	штраф, неустойка	There is a penalty clause if the delivery is delayed by more than 5 days.
